# IEC 60870-5-102 电能量点表配置
# 格式：Name,CA,IOA,TypeID,Scale,Offset,Interval,DeadbandValue,DeadbandType
#
# 字段说明：
#   Name: 测点名称
#   CA: 公共地址（Common Address）
#   IOA: 信息对象地址（Information Object Address）
#   TypeID: ASDU 类型标识
#   Scale: 缩放因子（可选，默认 1.0）
#   Offset: 偏移量（可选，默认 0.0）
#   Interval: 采集间隔（毫秒，可选，默认 0）
#   DeadbandValue: 死区阈值（可选，默认 0）
#   DeadbandType: 死区类型（absolute/percent，可选，默认 absolute）
#
# 类型标识参考（IEC102 电能量专用）：
#   1 - M_IT_NA_1  累计值
#   2 - M_IT_TA_1  累计值带时标 CP24Time2a
#   3 - M_IT_NB_1  累计值带时标 CP24Time2a（扩展）
#   4 - M_IT_TB_1  累计值带时标 CP56Time2a
#   5 - M_IT_NC_1  累计值带时标 CP56Time2a（扩展）
#   6 - M_IT_TC_1  累计值带时标 CP56Time2a（扩展）

# 有功电能量（累计值，带时标）
active_energy_total,1,1,2,0.01,0,0,0.1,absolute
active_energy_t1,1,2,2,0.01,0,0,0.1,absolute
active_energy_t2,1,3,2,0.01,0,0,0.1,absolute

# 无功电能量（累计值，带时标）
reactive_energy_total,1,10,2,0.01,0,0,0.1,absolute
reactive_energy_t1,1,11,2,0.01,0,0,0.1,absolute

# 正向有功电能量（带 CP56Time2a 时标）
active_energy_forward,1,20,4,0.01,0,0,0.1,absolute

# 反向有功电能量（带 CP56Time2a 时标）
active_energy_reverse,1,21,4,0.01,0,0,0.1,absolute

# 组合有功电能量（扩展格式）
active_energy_combined,1,30,5,0.01,0,0,0.1,absolute

# 峰平谷时段电能量
active_energy_peak,1,40,2,0.01,0,0,0.1,absolute
active_energy_flat,1,41,2,0.01,0,0,0.1,absolute
active_energy_valley,1,42,2,0.01,0,0,0.1,absolute
